name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
Three Colors: Blue,R,Drama,1993,7.9,93000,Krzysztof Kieslowski,Krzysztof Kieslowski,Juliette Binoche,France,NA,1341154,MK2 Productions,September,NA
Grumpy Old Men,PG-13,Comedy,1993,7,45000,Donald Petrie,Mark Steven Johnson,Jack Lemmon,United States,NA,70172621,John Davis,December,NA
A Perfect World,PG-13,Crime,1993,7.5,76000,Clint Eastwood,John Lee Hancock,Kevin Costner,United States,30000000,135130999,Warner Bros.,November,105130999
Leprechaun,R,Comedy,1993,4.8,25000,Mark Jones,Mark Jones,Warwick Davis,United States,900000,8556940,Trimark Pictures,January,7656940
Malice,R,Crime,1993,6.4,24000,Harold Becker,Aaron Sorkin,Alec Baldwin,Canada,20000000,46405336,Castle Rock Entertainment,October,26405336
What's Love Got to Do with It,R,Biography,1993,7.3,18000,Brian Gibson,Tina Turner,Angela Bassett,United States,15000000,39100956,Touchstone Pictures,June,24100956
Short Cuts,R,Comedy,1993,7.7,43000,Robert Altman,Raymond Carver,Andie MacDowell,United States,NA,6110979,Fine Line Features,October,NA
Son in Law,PG-13,Comedy,1993,5.8,18000,Steve Rash,Patrick J. Clifton,Pauly Shore,United States,NA,36448400,Hollywood Pictures,July,NA
Striking Distance,R,Action,1993,5.9,41000,Rowdy Herrington,Rowdy Herrington,Bruce Willis,United States,30000000,24107867,Columbia Pictures,September,-5892133
Return of the Living Dead III,NA,Horror,1993,5.9,14000,Brian Yuzna,John Penney,Kent McCord,United States,2000000,54207,Bandai Visual Company,February,-1945793
Searching for Bobby Fischer,PG,Biography,1993,7.4,37000,Steven Zaillian,Fred Waitzkin,Joe Mantegna,United States,12000000,7266383,Mirage Enterprises,August,-4733617
Jason Goes to Hell: the Final Friday,NA,Fantasy,1993,4.2,29000,Adam Marcus,Jay Huguely,John D. LeMay,United States,3000000,15935068,New Line Cinema,August,12935068
Matinee,PG,Comedy,1993,6.9,10000,Joe Dante,Jerico Stone,John Goodman,United States,13000000,9532895,Universal Pictures,January,-3467105
The Good Son,R,Drama,1993,6.4,37000,Joseph Ruben,Ian McEwan,Macaulay Culkin,United States,17000000,60613008,Twentieth Century Fox,September,43613008
The Beverly Hillbillies,PG,Comedy,1993,5,18000,Penelope Spheeris,Paul Henning,Diedrich Bader,United States,25000000,57405220,Twentieth Century Fox,October,32405220
Beethoven's 2nd,PG,Comedy,1993,4.9,26000,Rod Daniel,John Hughes,Charles Grodin,United States,15000000,118243066,Northern Lights Entertainment,December,103243066
Killing Zoe,R,Crime,1993,6.5,20000,Roger Avary,Roger Avary,Eric Stoltz,France,1500000,418961,Davis-Films,September,-1081039
Cronos,R,Fantasy,1993,6.7,28000,Guillermo del Toro,Guillermo del Toro,Federico Luppi,Mexico,2000000,621392,CNCAIMC,May,-1378608
Geronimo: An American Legend,PG-13,Drama,1993,6.5,9900,Walter Hill,John Milius,Jason Patric,United States,35000000,18635620,Columbia Pictures,December,-16364380
Wayne's World 2,PG-13,Comedy,1993,6.2,79000,Stephen Surjik,Mike Myers,Mike Myers,United States,40000000,48198019,Paramount Pictures,December,8198019
Point of No Return,R,Action,1993,6.1,26000,John Badham,Luc Besson,Bridget Fonda,United States,NA,30038362,Warner Bros.,March,NA
Boxing Helena,R,Drama,1993,4.7,12000,Jennifer Lynch,Philippe Caland,Julian Sands,United States,NA,1796389,Mainline Pictures,September,NA
Romeo Is Bleeding,R,Crime,1993,6.6,13000,Peter Medak,Hilary Henkin,Gary Oldman,United Kingdom,11500000,3275585,Polygram Filmed Entertainment,February,-8224415
Rising Sun,R,Action,1993,6.3,43000,Philip Kaufman,Michael Crichton,Sean Connery,United States,35000000,107198790,Twentieth Century Fox,July,72198790
For Love or Money,PG,Comedy,1993,6.2,13000,Barry Sonnenfeld,Mark Rosenthal,Michael J. Fox,United States,30000000,11146270,Universal Pictures,October,-18853730
Teenage Mutant Ninja Turtles III,PG,Action,1993,4.8,32000,Stuart Gillard,Kevin Eastman,Elias Koteas,United States,21000000,42273609,Golden Harvest Company,March,21273609
Body Snatchers,R,Horror,1993,6,17000,Abel Ferrara,Jack Finney,Gabrielle Anwar,United States,13000000,428868,Dorset Productions,February,-12571132
